epochs, nll-test,Bleu_2,Self-Bleu_2,Bleu_3,Self-Bleu_3,Bleu_4,Self-Bleu_4,
1,0.46483418,0.09119295838547443,0.2859098824421846,0.04602721249420142,0.11589271274649215,0.03486206180106107,0.06912275155664276,
6,0.30610833,0.16825176977895168,0.2859098824421846,0.07337426789477848,0.11589271274649215,0.05326422858679155,0.06912275155664276,
11,0.277445,0.2114737710061451,0.2859098824421846,0.08725970868805953,0.11589271274649215,0.058015580300442696,0.06912275155664276,
16,0.2542137,0.23834627921322027,0.2859098824421846,0.09701132030473922,0.11589271274649215,0.06198152857086566,0.06912275155664276,
21,0.23379228,0.25427477620739614,0.2859098824421846,0.10800486793204317,0.11589271274649215,0.0679956241476289,0.06912275155664276,
26,0.21695505,0.25880131298201514,0.2859098824421846,0.1102787906145251,0.11589271274649215,0.06916472596069172,0.06912275155664276,
31,0.20419337,0.2711562898565159,0.2859098824421846,0.11842151045309295,0.11589271274649215,0.07280814154261121,0.06912275155664276,
36,0.19459291,0.2597121411404209,0.2859098824421846,0.11556194655287944,0.11589271274649215,0.07261754441166088,0.06912275155664276,
41,0.18825217,0.25842850758861935,0.2859098824421846,0.1159978413073076,0.11589271274649215,0.07321185760523474,0.06912275155664276,
46,0.18205836,0.26312082405358334,0.2859098824421846,0.11883335262350825,0.11589271274649215,0.07438778976570228,0.06912275155664276,
51,0.17931007,0.28700706507411394,0.2859098824421846,0.13267003453962822,0.11589271274649215,0.08203049711099158,0.06912275155664276,
56,0.18656136,0.333823729707687,0.2859098824421846,0.15533634641770036,0.11589271274649215,0.09954762042549109,0.06912275155664276,
61,0.1938855,0.3455663551715097,0.2859098824421846,0.15845689278232897,0.11589271274649215,0.10259780824805398,0.06912275155664276,
66,0.2006764,0.3385078431826363,0.2859098824421846,0.15217927582553112,0.11589271274649215,0.09655865261282806,0.06912275155664276,
71,0.20694244,0.3233474333576656,0.2859098824421846,0.14228536849445816,0.11589271274649215,0.09012714398217464,0.06912275155664276,
76,0.2150804,0.3261200327648775,0.2859098824421846,0.14591172154519777,0.11589271274649215,0.0951069879302459,0.06912275155664276,
81,0.22225007,0.3261415021025513,0.2859098824421846,0.14431704270471707,0.11589271274649215,0.09506633317570104,0.06912275155664276,
86,0.22656338,0.30920007665346344,0.2859098824421846,0.13938343603484485,0.11589271274649215,0.09313770131398122,0.06912275155664276,
91,0.22930358,0.3115249379000925,0.2859098824421846,0.13657172606544998,0.11589271274649215,0.0889387997365247,0.06912275155664276,
96,0.23025098,0.30004137379650875,0.2859098824421846,0.13142457692452525,0.11589271274649215,0.08631887092807071,0.06912275155664276,
100,0.23226917,0.30074889726562376,0.2859098824421846,0.13326776467143656,0.11589271274649215,0.08774499209285128,0.06912275155664276,
