epochs, EmbeddingSimilarity,nll-test,Bleu_2,Self-Bleu_2,Bleu_3,Self-Bleu_3,Bleu_4,Self-Bleu_4,
1,-0.020250119516105725,4.444004,0.23693846138061017,0.4447346840938031,0.09943118415485154,0.17168965031423314,0.06944790786269041,0.10287365865706082,
6,-0.02516554539211985,3.4199367,0.30453438083243883,0.4447346840938031,0.12383726641008266,0.17168965031423314,0.08059361253319212,0.10287365865706082,
11,-0.023830076579627744,3.0111315,0.3587626424998396,0.4447346840938031,0.1480145521294396,0.17168965031423314,0.09027538204793362,0.10287365865706082,
16,-0.022412590675511504,2.6166446,0.4066815076865966,0.4447346840938031,0.1747070740267823,0.17168965031423314,0.10471878048071666,0.10287365865706082,
21,-0.0297997687684743,2.2751389,0.38663800805160115,0.4447346840938031,0.16015817373494762,0.17168965031423314,0.09151838520586027,0.10287365865706082,
26,-0.024166513429663885,1.9453145,0.4462562346351212,0.4447346840938031,0.2015727564838038,0.17168965031423314,0.11468770884246106,0.10287365865706082,
31,-0.02724931364121743,1.6945927,0.43699815514253576,0.4447346840938031,0.19969411521681538,0.17168965031423314,0.11258432737950409,0.10287365865706082,
36,-0.024338931961797435,1.5163147,0.4691634669011093,0.4447346840938031,0.22374132904356323,0.17168965031423314,0.12839719265467048,0.10287365865706082,
41,-0.024477445429455843,1.3966565,0.46021655777913395,0.4447346840938031,0.22427216646973613,0.17168965031423314,0.1307151358129636,0.10287365865706082,
46,-0.02446794894568468,1.2746335,0.48385684084770875,0.4447346840938031,0.24702908538222554,0.17168965031423314,0.144885275628146,0.10287365865706082,
51,-0.024598952452141044,1.2210015,0.5105820377076139,0.4447346840938031,0.2641873944537434,0.17168965031423314,0.15409245228736218,0.10287365865706082,
56,-0.023923267382239315,1.2929353,0.5439086748360213,0.4447346840938031,0.27844615425022107,0.17168965031423314,0.15613675810848848,0.10287365865706082,
61,-0.023805157174450437,1.3818526,0.5518935758726725,0.4447346840938031,0.2799431245925711,0.17168965031423314,0.15904637167348232,0.10287365865706082,
66,-0.024260275384896387,1.4759159,0.5620217704643743,0.4447346840938031,0.27834353025028136,0.17168965031423314,0.1578942253102995,0.10287365865706082,
71,-0.024904706091063905,1.563038,0.5531501600956852,0.4447346840938031,0.27105982120556227,0.17168965031423314,0.1522880875891204,0.10287365865706082,
76,-0.02440305008853704,1.6259661,0.560880950808313,0.4447346840938031,0.2777871650861498,0.17168965031423314,0.1537881540293277,0.10287365865706082,
81,-0.025637670135235185,1.6542214,0.5587715877892422,0.4447346840938031,0.27447420544092244,0.17168965031423314,0.15171413931816766,0.10287365865706082,
86,-0.028450174854127788,1.66022,0.5494559301896701,0.4447346840938031,0.2684690490533934,0.17168965031423314,0.1481386191951817,0.10287365865706082,
91,-0.02826346984673113,1.6884725,0.5422206634604357,0.4447346840938031,0.2652373690085009,0.17168965031423314,0.14553857728574468,0.10287365865706082,
96,-0.02882760053178335,1.7118498,0.5343583062625702,0.4447346840938031,0.2615571047407079,0.17168965031423314,0.14361952107023881,0.10287365865706082,
100,-0.029815942121244728,1.7355624,0.5196662003973965,0.4447346840938031,0.2539144213725525,0.17168965031423314,0.13977229880920983,0.10287365865706082,
