epochs, nll-test,Bleu_2,Self-Bleu_2,Bleu_3,Self-Bleu_3,Bleu_4,Self-Bleu_4,
1,0.42687598,0.12664723137802114,0.3561417367397422,0.05218012287840233,0.1191273568988144,0.03517733494629239,0.0645263247703013,
6,0.2970323,0.17321096629738061,0.3561417367397422,0.07421044901693803,0.1191273568988144,0.05306838589205512,0.0645263247703013,
11,0.26362184,0.22519070383492396,0.3561417367397422,0.09468804695452013,0.1191273568988144,0.06145244850132691,0.0645263247703013,
16,0.24115896,0.2502074211412734,0.3561417367397422,0.10756774727123297,0.1191273568988144,0.0689378569717372,0.0645263247703013,
21,0.22404078,0.25124479137803674,0.3561417367397422,0.10978875552620862,0.1191273568988144,0.07001110378122877,0.0645263247703013,
26,0.21169174,0.23822793700027858,0.3561417367397422,0.10670589499704393,0.1191273568988144,0.06860324804236526,0.0645263247703013,
31,0.19994134,0.24662017080074017,0.3561417367397422,0.10986649954770326,0.1191273568988144,0.07111703592711313,0.0645263247703013,
36,0.19248109,0.25173040612908,0.3561417367397422,0.11364879000661962,0.1191273568988144,0.07323276761561905,0.0645263247703013,
41,0.18648237,0.25026020377251235,0.3561417367397422,0.1143649733706051,0.1191273568988144,0.07367062951744556,0.0645263247703013,
46,0.18269835,0.2519916007945926,0.3561417367397422,0.11514379517405227,0.1191273568988144,0.07240854251512761,0.0645263247703013,
51,0.18442452,0.2912337060143749,0.3561417367397422,0.13820192832830888,0.1191273568988144,0.09048806785830152,0.0645263247703013,
56,0.1999432,0.3639375527021093,0.3561417367397422,0.18038017084357427,0.1191273568988144,0.11861529710453299,0.0645263247703013,
61,0.20547639,0.371747295927545,0.3561417367397422,0.17845451336679777,0.1191273568988144,0.11572677484953223,0.0645263247703013,
66,0.20724937,0.3922331018299001,0.3561417367397422,0.18208877421800465,0.1191273568988144,0.11487121841301912,0.0645263247703013,
71,0.20995107,0.40086661016297664,0.3561417367397422,0.17952829027203226,0.1191273568988144,0.1113791008063989,0.0645263247703013,
76,0.21334314,0.4040447982169674,0.3561417367397422,0.1742951834648753,0.1191273568988144,0.10752412790106773,0.0645263247703013,
81,0.22029401,0.40068607596489764,0.3561417367397422,0.17558583341017706,0.1191273568988144,0.10970793716483332,0.0645263247703013,
86,0.22659534,0.3844826677394179,0.3561417367397422,0.16895108667284955,0.1191273568988144,0.10668943425527616,0.0645263247703013,
91,0.23255417,0.37340615005449745,0.3561417367397422,0.16747549508605533,0.1191273568988144,0.1071081522745602,0.0645263247703013,
96,0.23342301,0.35767104109461545,0.3561417367397422,0.15595740124749083,0.1191273568988144,0.09984915562998545,0.0645263247703013,
100,0.23388849,0.347120207995066,0.3561417367397422,0.1528053837527807,0.1191273568988144,0.09916097340272051,0.0645263247703013,
