epochs, nll-test,Bleu_2,Self-Bleu_2,Bleu_3,Self-Bleu_3,Bleu_4,Self-Bleu_4,
1,4.4375196,0.14263134169041145,0.42056545207213003,0.06489708882278325,0.18771737216211307,0.04684510682308052,0.10383810977133333,
6,3.4577684,0.2269047114060158,0.42056545207213003,0.08600119284436886,0.18771737216211307,0.052342614430679696,0.10383810977133333,
11,3.051391,0.2669040060521713,0.42056545207213003,0.10296035875774608,0.18771737216211307,0.060100469191769444,0.10383810977133333,
16,2.7255533,0.30265142110989246,0.42056545207213003,0.1139290923394371,0.18771737216211307,0.06363285870332998,0.10383810977133333,
21,2.4647417,0.31301191018012997,0.42056545207213003,0.11839339526867089,0.18771737216211307,0.06504990630148536,0.10383810977133333,
26,2.2629483,0.3227068463452116,0.42056545207213003,0.12463699208236448,0.18771737216211307,0.06840933506350703,0.10383810977133333,
31,2.101941,0.3090856135364939,0.42056545207213003,0.12324223012709588,0.18771737216211307,0.06702340144620263,0.10383810977133333,
36,1.9719672,0.31960897687593653,0.42056545207213003,0.1293853185380204,0.18771737216211307,0.07137574739219596,0.10383810977133333,
41,1.9210316,0.32390036611928114,0.42056545207213003,0.1291779087137144,0.18771737216211307,0.07087662431633159,0.10383810977133333,
46,1.8617083,0.3407828106109236,0.42056545207213003,0.13391534336151203,0.18771737216211307,0.07190040074524713,0.10383810977133333,
51,1.7910367,0.33260135072725044,0.42056545207213003,0.13868149291805662,0.18771737216211307,0.07770441608561766,0.10383810977133333,
56,1.8811072,0.3580315450795465,0.42056545207213003,0.15139803696258458,0.18771737216211307,0.08473511296661387,0.10383810977133333,
61,1.9164758,0.37107894324895724,0.42056545207213003,0.15541064126682183,0.18771737216211307,0.08581660568756676,0.10383810977133333,
66,1.9409314,0.37036087243574956,0.42056545207213003,0.1530790595289094,0.18771737216211307,0.08375843751278438,0.10383810977133333,
71,1.9969572,0.37169566404688964,0.42056545207213003,0.15100511949773304,0.18771737216211307,0.08122548396715787,0.10383810977133333,
76,2.048055,0.3790822144954307,0.42056545207213003,0.15103746699628118,0.18771737216211307,0.08102066028005989,0.10383810977133333,
81,2.1016366,0.3874625978866459,0.42056545207213003,0.15703618097771377,0.18771737216211307,0.08422976650496833,0.10383810977133333,
86,2.1450849,0.398869187382045,0.42056545207213003,0.15999806545423437,0.18771737216211307,0.08450992727246245,0.10383810977133333,
91,2.1923897,0.3987119602938001,0.42056545207213003,0.15927323573789015,0.18771737216211307,0.08457667474736805,0.10383810977133333,
96,2.223669,0.38814101106636817,0.42056545207213003,0.15271731837850355,0.18771737216211307,0.08108648426871179,0.10383810977133333,
100,2.252245,0.3828883992542549,0.42056545207213003,0.1488827701998053,0.18771737216211307,0.07933838837077598,0.10383810977133333,
