epochs, nll-test,Bleu_2,Self-Bleu_2,Bleu_3,Self-Bleu_3,Bleu_4,Self-Bleu_4,
1,1.4035381,0.2291301074276741,0.6836102219845847,0.07740237086845507,0.35535123027677473,0.044377340906265335,0.16527958997461925,
6,0.92560154,0.3095227075654136,0.6836102219845847,0.12538241483576273,0.35535123027677473,0.07400227095475763,0.16527958997461925,
11,0.82686037,0.39737167378672894,0.6836102219845847,0.1937752183181757,0.35535123027677473,0.10563420679600984,0.16527958997461925,
16,0.76875114,0.4229311337650174,0.6836102219845847,0.21489438050200324,0.35535123027677473,0.12023902737015771,0.16527958997461925,
21,0.72829986,0.43173818600420694,0.6836102219845847,0.2245811898665044,0.35535123027677473,0.12516423233818239,0.16527958997461925,
26,0.6936181,0.45161313110591317,0.6836102219845847,0.23800864739796865,0.35535123027677473,0.13074110144171133,0.16527958997461925,
31,0.67596453,0.44024578287854504,0.6836102219845847,0.22886358316815436,0.35535123027677473,0.12339006783480941,0.16527958997461925,
36,0.644349,0.4613946548673428,0.6836102219845847,0.24431459618960524,0.35535123027677473,0.1364594236827804,0.16527958997461925,
41,0.626623,0.46674060812789925,0.6836102219845847,0.24891346574880774,0.35535123027677473,0.1401643733422233,0.16527958997461925,
46,0.6146993,0.48157018803407925,0.6836102219845847,0.2615200725193346,0.35535123027677473,0.1465777839113805,0.16527958997461925,
51,0.60553616,0.502851462193969,0.6836102219845847,0.28243661533225756,0.35535123027677473,0.16355348140748646,0.16527958997461925,
56,0.63075614,0.5603793298182081,0.6836102219845847,0.32534171747082713,0.35535123027677473,0.19248304161200838,0.16527958997461925,
61,0.6787108,0.6003565444110547,0.6836102219845847,0.3586937717779257,0.35535123027677473,0.2179386071242834,0.16527958997461925,
66,0.69762594,0.5782529004852922,0.6836102219845847,0.33000577827041006,0.35535123027677473,0.19736255482134077,0.16527958997461925,
71,0.7124527,0.5471234437868263,0.6836102219845847,0.3012564134820163,0.35535123027677473,0.1819112365425442,0.16527958997461925,
76,0.7253849,0.5413797738730887,0.6836102219845847,0.29038047217280505,0.35535123027677473,0.1726927460534409,0.16527958997461925,
81,0.7252832,0.5308008356695874,0.6836102219845847,0.2771502964935647,0.35535123027677473,0.1597397717878291,0.16527958997461925,
86,0.72786033,0.5232539053668137,0.6836102219845847,0.27262461663158466,0.35535123027677473,0.15342438671770556,0.16527958997461925,
91,0.73638326,0.5064528098879418,0.6836102219845847,0.26178191624330827,0.35535123027677473,0.1479441140858056,0.16527958997461925,
96,0.7469478,0.4908491187521661,0.6836102219845847,0.25020608225372887,0.35535123027677473,0.14580000633265155,0.16527958997461925,
100,0.7515214,0.48957624354438334,0.6836102219845847,0.2520773508481069,0.35535123027677473,0.14446584237406926,0.16527958997461925,
