epochs, nll-test,Bleu_2,Self-Bleu_2,Bleu_3,Self-Bleu_3,Bleu_4,Self-Bleu_4,
1,1.4063125,0.2518042995692455,0.68487832181375,0.08265202354302685,0.33967327804033054,0.046242712555626696,0.15316022538682575,
6,0.9347281,0.30211329097008865,0.68487832181375,0.12241241114437172,0.33967327804033054,0.0752539546703937,0.15316022538682575,
11,0.8339051,0.3803497842870355,0.68487832181375,0.18209077157811676,0.33967327804033054,0.10546374339703345,0.15316022538682575,
16,0.77099365,0.42662519261103843,0.68487832181375,0.2133010404027713,0.33967327804033054,0.11963148007047576,0.15316022538682575,
21,0.72353613,0.4475936976477777,0.68487832181375,0.23182873088732966,0.33967327804033054,0.13162225589890705,0.15316022538682575,
26,0.6874464,0.4485535258674126,0.68487832181375,0.23356752333391947,0.33967327804033054,0.13398208624308114,0.15316022538682575,
31,0.6582907,0.45879510147964553,0.68487832181375,0.2426096970897266,0.33967327804033054,0.13803761102754183,0.15316022538682575,
36,0.6375357,0.4826892669301677,0.68487832181375,0.25548511812609737,0.33967327804033054,0.14067402252694214,0.15316022538682575,
41,0.6242264,0.4842825727843616,0.68487832181375,0.2586073693236689,0.33967327804033054,0.14308391787059074,0.15316022538682575,
46,0.61223793,0.494439028314874,0.68487832181375,0.26631343144092257,0.33967327804033054,0.1496994316991563,0.15316022538682575,
51,0.60019773,0.5198610952306775,0.68487832181375,0.285240475867466,0.33967327804033054,0.16073060109347387,0.15316022538682575,
56,0.6342246,0.5815464899490358,0.68487832181375,0.3287781124575615,0.33967327804033054,0.1916317464335482,0.15316022538682575,
61,0.6500386,0.5679035423393283,0.68487832181375,0.3186206491721709,0.33967327804033054,0.19080683376789132,0.15316022538682575,
66,0.66288304,0.5555838497755315,0.68487832181375,0.29984571883517425,0.33967327804033054,0.17372998054091043,0.15316022538682575,
71,0.6797684,0.5538642734034779,0.68487832181375,0.29929147655979654,0.33967327804033054,0.17087371671669743,0.15316022538682575,
76,0.69852376,0.5472355070186501,0.68487832181375,0.29172448183717054,0.33967327804033054,0.17158591749944194,0.15316022538682575,
81,0.7134997,0.5438956876683422,0.68487832181375,0.2861980557941339,0.33967327804033054,0.17209502040565647,0.15316022538682575,
86,0.7222525,0.5580253076285678,0.68487832181375,0.2935412157918114,0.33967327804033054,0.17433755053020583,0.15316022538682575,
91,0.7266169,0.5798226462032644,0.68487832181375,0.30923931025355955,0.33967327804033054,0.1734044668383531,0.15316022538682575,
96,0.7333469,0.5852028671943188,0.68487832181375,0.3166002910519831,0.33967327804033054,0.17630539760804434,0.15316022538682575,
100,0.73461926,0.578360761915015,0.68487832181375,0.31065885975697366,0.33967327804033054,0.17591446456789372,0.15316022538682575,
