epochs, nll-test,Bleu_2,Self-Bleu_2,Bleu_3,Self-Bleu_3,Bleu_4,Self-Bleu_4,
1,0.4835779,0.15807927078066308,0.4303067212023994,0.06702894295218442,0.16093842792427673,0.046077020507174056,0.08805734445652175,
6,0.3066944,0.16521084109195103,0.4303067212023994,0.07163761588361184,0.16093842792427673,0.051701779542515425,0.08805734445652175,
11,0.27946246,0.21426930097296695,0.4303067212023994,0.08736006364790383,0.16093842792427673,0.058024291938395235,0.08805734445652175,
16,0.25572243,0.23801475463583044,0.4303067212023994,0.09949907481369444,0.16093842792427673,0.06396513905262996,0.08805734445652175,
21,0.23404364,0.24967242585810498,0.4303067212023994,0.10776617780433449,0.16093842792427673,0.06841898507875167,0.08805734445652175,
26,0.21703456,0.25310530674161996,0.4303067212023994,0.10870671679482584,0.16093842792427673,0.06793302756137055,0.08805734445652175,
31,0.20504281,0.260170978442848,0.4303067212023994,0.11287122745125885,0.16093842792427673,0.06833162456609487,0.08805734445652175,
36,0.19506107,0.2608504041799893,0.4303067212023994,0.11622572823870544,0.16093842792427673,0.07126095444184426,0.08805734445652175,
41,0.189477,0.2496002358183536,0.4303067212023994,0.11628689288701753,0.16093842792427673,0.07492457857182873,0.08805734445652175,
46,0.18643828,0.2451488490879516,0.4303067212023994,0.11638186260988999,0.16093842792427673,0.07584478472987362,0.08805734445652175,
51,0.18097438,0.2875290762339387,0.4303067212023994,0.13604243547851635,0.16093842792427673,0.08726757532867246,0.08805734445652175,
56,0.18930358,0.3351907816887885,0.4303067212023994,0.16029658702612068,0.16093842792427673,0.10348364362448252,0.08805734445652175,
61,0.19545658,0.35215106740943963,0.4303067212023994,0.16564877725194432,0.16093842792427673,0.10620761015572963,0.08805734445652175,
66,0.19943123,0.3534898192107685,0.4303067212023994,0.16289511219167577,0.16093842792427673,0.10238434846465405,0.08805734445652175,
71,0.20423917,0.36067401382290293,0.4303067212023994,0.16289187455384654,0.16093842792427673,0.10113717572860528,0.08805734445652175,
76,0.2097079,0.383668331551987,0.4303067212023994,0.167793741159243,0.16093842792427673,0.10040050847408762,0.08805734445652175,
81,0.21453497,0.39644330591622257,0.4303067212023994,0.1727578280021321,0.16093842792427673,0.10045289447809262,0.08805734445652175,
86,0.21779661,0.40451590612101757,0.4303067212023994,0.17319708340432835,0.16093842792427673,0.09869994285651293,0.08805734445652175,
91,0.22097574,0.3957009833457711,0.4303067212023994,0.17228981677029365,0.16093842792427673,0.10153557867622164,0.08805734445652175,
96,0.22456859,0.38664505530813853,0.4303067212023994,0.17506051593392363,0.16093842792427673,0.10772158028144933,0.08805734445652175,
100,0.22680295,0.36294529772809203,0.4303067212023994,0.1676170812425057,0.16093842792427673,0.10791178734299185,0.08805734445652175,
