epochs, nll-test,Bleu_2,Self-Bleu_2,Bleu_3,Self-Bleu_3,Bleu_4,Self-Bleu_4,
1,0.46865168,0.08367906570272213,0.27748526372474674,0.04251108113088485,0.11455804709920071,0.03205201155971858,0.0674165087674232,
6,0.3082879,0.15448757544171476,0.27748526372474674,0.06704465140543509,0.11455804709920071,0.04880077348319667,0.0674165087674232,
11,0.27728796,0.207726150134752,0.27748526372474674,0.08306393616535866,0.11455804709920071,0.05463161020207278,0.0674165087674232,
16,0.25221565,0.22414053039126922,0.27748526372474674,0.09502096624418813,0.11455804709920071,0.061676845900862455,0.0674165087674232,
21,0.23119538,0.2448926597371212,0.27748526372474674,0.10423997236317822,0.11455804709920071,0.06452632681163963,0.0674165087674232,
26,0.21501167,0.24201773306124424,0.27748526372474674,0.1080718970866863,0.11455804709920071,0.06869797591965865,0.0674165087674232,
31,0.20210402,0.2578398699751231,0.27748526372474674,0.11172396253803703,0.11455804709920071,0.06762890432694596,0.0674165087674232,
36,0.1912549,0.24352313580818108,0.27748526372474674,0.10867761266068329,0.11455804709920071,0.06844055225964482,0.0674165087674232,
41,0.18454644,0.24343590048384567,0.27748526372474674,0.11057004458185955,0.11455804709920071,0.06955706967606438,0.0674165087674232,
46,0.17960863,0.2455128046345563,0.27748526372474674,0.1130501393734816,0.11455804709920071,0.07216694443970892,0.0674165087674232,
51,0.17648011,0.26822607541404275,0.27748526372474674,0.12825042150600421,0.11455804709920071,0.08290739119296817,0.0674165087674232,
56,0.18571958,0.32878920728926936,0.27748526372474674,0.158323453924001,0.11455804709920071,0.10052240171234611,0.0674165087674232,
61,0.19292773,0.35162850602360257,0.27748526372474674,0.16830418953427,0.11455804709920071,0.10405061072129752,0.0674165087674232,
66,0.19530067,0.3454515144619078,0.27748526372474674,0.15996746253434013,0.11455804709920071,0.09963930020564485,0.0674165087674232,
71,0.1981352,0.35048022493937964,0.27748526372474674,0.1613505267222168,0.11455804709920071,0.09975412389433967,0.0674165087674232,
76,0.20357315,0.33763829896577724,0.27748526372474674,0.16361321684637592,0.11455804709920071,0.10491105044524549,0.0674165087674232,
81,0.20811033,0.3220623496952156,0.27748526372474674,0.15891990458376073,0.11455804709920071,0.10548793284337422,0.0674165087674232,
86,0.2107618,0.32560569709467263,0.27748526372474674,0.1592542112254938,0.11455804709920071,0.10387312681640343,0.0674165087674232,
91,0.21365938,0.32309619668523326,0.27748526372474674,0.15184745163291868,0.11455804709920071,0.09841559431820243,0.0674165087674232,
96,0.2180028,0.33320135706804105,0.27748526372474674,0.1521289830365181,0.11455804709920071,0.09634696325628771,0.0674165087674232,
100,0.22263925,0.3328341059840361,0.27748526372474674,0.15107924601862097,0.11455804709920071,0.09697181309140532,0.0674165087674232,
