epochs, nll-test,Bleu_2,Self-Bleu_2,Bleu_3,Self-Bleu_3,Bleu_4,Self-Bleu_4,
1,0.46239498,0.10655555390561815,0.3185497325205154,0.0522112987403804,0.12912972025660469,0.03887806472910978,0.07530688287501508,
6,0.31010744,0.1619654036664536,0.3185497325205154,0.07237538870873368,0.12912972025660469,0.05406578821880583,0.07530688287501508,
11,0.28159568,0.2081913787412661,0.3185497325205154,0.08413781655742252,0.12912972025660469,0.05689628367425609,0.07530688287501508,
16,0.2548343,0.23862698345147806,0.3185497325205154,0.09897328913068665,0.12912972025660469,0.06439652631859162,0.07530688287501508,
21,0.23268713,0.26122822603387524,0.3185497325205154,0.11001439495561853,0.12912972025660469,0.07032796295798706,0.07530688287501508,
26,0.2161518,0.25705388641890486,0.3185497325205154,0.10935577361709409,0.12912972025660469,0.0690225435996888,0.07530688287501508,
31,0.20255037,0.27420182794647674,0.3185497325205154,0.11752361221619242,0.12912972025660469,0.07297306958484104,0.07530688287501508,
36,0.19175938,0.26344850718618595,0.3185497325205154,0.11618020366428734,0.12912972025660469,0.07497604680174708,0.07530688287501508,
41,0.18507072,0.26523718850008543,0.3185497325205154,0.11849504441501245,0.12912972025660469,0.07560518278618883,0.07530688287501508,
46,0.17963915,0.26413135139996863,0.3185497325205154,0.1197053494005586,0.12912972025660469,0.0767423728097931,0.07530688287501508,
51,0.17548856,0.2758431732162865,0.3185497325205154,0.12627038297507245,0.12912972025660469,0.08166661868569057,0.07530688287501508,
56,0.1847395,0.3061148261548572,0.3185497325205154,0.1404432296765138,0.12912972025660469,0.0904073787997533,0.07530688287501508,
61,0.1921666,0.3248009625202875,0.3185497325205154,0.14442490168088318,0.12912972025660469,0.09066867713418578,0.07530688287501508,
66,0.19725889,0.3266607114820233,0.3185497325205154,0.14298667859386538,0.12912972025660469,0.09030355001531988,0.07530688287501508,
71,0.20244373,0.3279147410273576,0.3185497325205154,0.1412243588774974,0.12912972025660469,0.0886985931077543,0.07530688287501508,
76,0.20850147,0.3248598178188494,0.3185497325205154,0.14342589523531735,0.12912972025660469,0.09132016227148211,0.07530688287501508,
81,0.21261884,0.3190133423936535,0.3185497325205154,0.1433158855125471,0.12912972025660469,0.09330070343218606,0.07530688287501508,
86,0.21517271,0.31167017910785033,0.3185497325205154,0.14435188684270867,0.12912972025660469,0.09583666972493429,0.07530688287501508,
91,0.21632835,0.30949509554429316,0.3185497325205154,0.1421303395604495,0.12912972025660469,0.09552356361300607,0.07530688287501508,
96,0.21799417,0.2946589629004543,0.3185497325205154,0.13914523241228588,0.12912972025660469,0.09489269600126708,0.07530688287501508,
100,0.22047137,0.29023404253651225,0.3185497325205154,0.1373509722922436,0.12912972025660469,0.09409824395146804,0.07530688287501508,
