epochs, nll-test,Bleu_2,Self-Bleu_2,Bleu_3,Self-Bleu_3,Bleu_4,Self-Bleu_4,
1,4.275988,0.12101955740800491,0.38933263484435504,0.05229912187157982,0.16779586550301898,0.03615664636890027,0.08940543998510884,
6,3.3607519,0.23293929581716993,0.38933263484435504,0.08649173393642692,0.16779586550301898,0.0511292710483634,0.08940543998510884,
11,2.9021533,0.25759249789008853,0.38933263484435504,0.10414016939550284,0.16779586550301898,0.06175124481708734,0.08940543998510884,
16,2.486479,0.27609352485406147,0.38933263484435504,0.10861507094886999,0.16779586550301898,0.062000958166616424,0.08940543998510884,
21,2.206492,0.29184745788749805,0.38933263484435504,0.11733869931303395,0.16779586550301898,0.06564986087768475,0.08940543998510884,
26,2.0081797,0.2893520124305778,0.38933263484435504,0.11903880298468267,0.16779586550301898,0.06658398058309747,0.08940543998510884,
31,1.8743951,0.2981212240274518,0.38933263484435504,0.12341516484376167,0.16779586550301898,0.06810790231212714,0.08940543998510884,
36,1.7637043,0.29125466037794356,0.38933263484435504,0.1257361038520036,0.16779586550301898,0.07120683431615758,0.08940543998510884,
41,1.6847254,0.30067312387664785,0.38933263484435504,0.12834718079755456,0.16779586550301898,0.0718037085375312,0.08940543998510884,
46,1.6190794,0.3074271136350576,0.38933263484435504,0.13231010251500083,0.16779586550301898,0.07411298843883563,0.08940543998510884,
51,1.5912957,0.3162182100578426,0.38933263484435504,0.1365593442071728,0.16779586550301898,0.07756488586716935,0.08940543998510884,
56,1.7278665,0.3642932265135332,0.38933263484435504,0.16173552873206376,0.16779586550301898,0.09037917963942206,0.08940543998510884,
61,1.7328963,0.3812521428295951,0.38933263484435504,0.16810057730693548,0.16779586550301898,0.09313194813736048,0.08940543998510884,
66,1.7513021,0.38583047759180933,0.38933263484435504,0.16967616681375555,0.16779586550301898,0.0936394755499725,0.08940543998510884,
71,1.7636895,0.38599833649995263,0.38933263484435504,0.16862104014513762,0.16779586550301898,0.09247882588158005,0.08940543998510884,
76,1.7932392,0.39538028303672534,0.38933263484435504,0.1717269604366353,0.16779586550301898,0.09363884958851934,0.08940543998510884,
81,1.8469504,0.40204557321262463,0.38933263484435504,0.17424604431884208,0.16779586550301898,0.09520848357220445,0.08940543998510884,
86,1.90784,0.4076923932215359,0.38933263484435504,0.17957466304022404,0.16779586550301898,0.09755306966828114,0.08940543998510884,
91,1.9763302,0.4016845809591724,0.38933263484435504,0.1758544072175922,0.16779586550301898,0.09658001014152308,0.08940543998510884,
96,2.0062172,0.40826866933530587,0.38933263484435504,0.17879481471833858,0.16779586550301898,0.09803277161393188,0.08940543998510884,
100,2.0163264,0.3970386745433045,0.38933263484435504,0.16959963925524982,0.16779586550301898,0.09385491509560581,0.08940543998510884,
