epochs, nll-test,Bleu_2,Self-Bleu_2,Bleu_3,Self-Bleu_3,Bleu_4,Self-Bleu_4,
1,0.46617463,0.08576066338573296,0.3025662199487051,0.04500799719858539,0.1299577303002408,0.03492543587161246,0.0774577752130662,
6,0.30323872,0.15506011196707162,0.3025662199487051,0.06429834206681473,0.1299577303002408,0.045645057076144045,0.0774577752130662,
11,0.26820418,0.20819496809153326,0.3025662199487051,0.08562549704458194,0.1299577303002408,0.05622533231450267,0.0774577752130662,
16,0.24362026,0.21999756007132307,0.3025662199487051,0.09077478965335546,0.1299577303002408,0.05631660882977207,0.0774577752130662,
21,0.22259822,0.2340120367496151,0.3025662199487051,0.10374483365261145,0.1299577303002408,0.06710526972781429,0.0774577752130662,
26,0.20689735,0.24319035964754637,0.3025662199487051,0.106763812771128,0.1299577303002408,0.0678826649147345,0.0774577752130662,
31,0.19424511,0.2453446014607553,0.3025662199487051,0.10680849714371726,0.1299577303002408,0.0639175059752812,0.0774577752130662,
36,0.18542825,0.24615055439508307,0.3025662199487051,0.10663228499685354,0.1299577303002408,0.06344511336098664,0.0774577752130662,
41,0.1809963,0.2407057568459129,0.3025662199487051,0.1115661952634293,0.1299577303002408,0.07069197377168047,0.0774577752130662,
46,0.1752367,0.24542047319720628,0.3025662199487051,0.1096285646831091,0.1299577303002408,0.06696243033699475,0.0774577752130662,
51,0.17210174,0.283541736486779,0.3025662199487051,0.12846566246233354,0.1299577303002408,0.0773668639739183,0.0774577752130662,
56,0.18173416,0.3448825653916767,0.3025662199487051,0.1537151413820052,0.1299577303002408,0.08728824721092071,0.0774577752130662,
61,0.18911865,0.3500878361994913,0.3025662199487051,0.1507067415916144,0.1299577303002408,0.08622149027963286,0.0774577752130662,
66,0.1941051,0.336743512859577,0.3025662199487051,0.1503736190655496,0.1299577303002408,0.08852857357566857,0.0774577752130662,
71,0.19634114,0.3117879055720024,0.3025662199487051,0.140899271132432,0.1299577303002408,0.08497643977085048,0.0774577752130662,
76,0.19835111,0.2880995514906003,0.3025662199487051,0.1262996405758288,0.1299577303002408,0.07482233686432563,0.0774577752130662,
81,0.20264497,0.301957951495741,0.3025662199487051,0.13461900952277261,0.1299577303002408,0.08094855973415127,0.0774577752130662,
86,0.21139623,0.30022890387482565,0.3025662199487051,0.13484955753699523,0.1299577303002408,0.0845046091032201,0.0774577752130662,
91,0.21893017,0.29255096772484607,0.3025662199487051,0.13572403105292707,0.1299577303002408,0.0880648946870704,0.0774577752130662,
96,0.2237815,0.2881288610064149,0.3025662199487051,0.13509481707470955,0.1299577303002408,0.08833266422358728,0.0774577752130662,
100,0.22626166,0.28615304603486863,0.3025662199487051,0.13448579386479506,0.1299577303002408,0.08893908365582172,0.0774577752130662,
