epochs, nll-test,Bleu_2,Self-Bleu_2,Bleu_3,Self-Bleu_3,Bleu_4,Self-Bleu_4,
1,4.495219,0.11120771351472797,0.5109472948888114,0.04973111603329061,0.2748177565261157,0.035296512823184696,0.16141319844756027,
6,3.4819896,0.2006866587576232,0.5109472948888114,0.0773349281670765,0.2748177565261157,0.04827925270646648,0.16141319844756027,
11,3.0361528,0.2500853321393674,0.5109472948888114,0.094498559532782,0.2748177565261157,0.05473605092608121,0.16141319844756027,
16,2.6509516,0.2898882867131869,0.5109472948888114,0.11251458437268302,0.2748177565261157,0.06525132530113435,0.16141319844756027,
21,2.4124324,0.2615346124388529,0.5109472948888114,0.10541127587837734,0.2748177565261157,0.06151194374561483,0.16141319844756027,
26,2.2085075,0.2762325965598749,0.5109472948888114,0.11364785305408735,0.2748177565261157,0.06517816401405786,0.16141319844756027,
31,2.026268,0.28834431557423784,0.5109472948888114,0.116455354322662,0.2748177565261157,0.06541019707993559,0.16141319844756027,
36,1.949752,0.29849206107892073,0.5109472948888114,0.12416455042835017,0.2748177565261157,0.0696161995359801,0.16141319844756027,
41,1.8811835,0.3076911092314869,0.5109472948888114,0.12862663220487228,0.2748177565261157,0.07153002078990227,0.16141319844756027,
46,1.8243539,0.3013001995798724,0.5109472948888114,0.12898508548475413,0.2748177565261157,0.07089956005014625,0.16141319844756027,
51,1.7756428,0.3209208125614063,0.5109472948888114,0.13315324849761287,0.2748177565261157,0.07127009672756826,0.16141319844756027,
56,1.7717043,0.3547137344802098,0.5109472948888114,0.14762245367794322,0.2748177565261157,0.07896153907083091,0.16141319844756027,
61,1.8465899,0.36900715914155274,0.5109472948888114,0.1521522415906465,0.2748177565261157,0.08224714628345156,0.16141319844756027,
66,1.9457406,0.3740419633250469,0.5109472948888114,0.1533281918444723,0.2748177565261157,0.08421614437457611,0.16141319844756027,
71,2.0428653,0.3780281463866972,0.5109472948888114,0.1544493469141445,0.2748177565261157,0.08459877475305731,0.16141319844756027,
76,2.1324887,0.3698653985340858,0.5109472948888114,0.1479660038102046,0.2748177565261157,0.08186291663969143,0.16141319844756027,
81,2.1698577,0.35674803167192176,0.5109472948888114,0.14158998888991645,0.2748177565261157,0.0802912527177493,0.16141319844756027,
86,2.2076266,0.34641816787322277,0.5109472948888114,0.13750399851572273,0.2748177565261157,0.07977402304652323,0.16141319844756027,
91,2.2380068,0.33640159885204907,0.5109472948888114,0.13393193431380382,0.2748177565261157,0.07929095597331912,0.16141319844756027,
96,2.2630277,0.33054019772330484,0.5109472948888114,0.13442349449159788,0.2748177565261157,0.0808519602144438,0.16141319844756027,
100,2.2815373,0.31598932196274937,0.5109472948888114,0.12772918297499253,0.2748177565261157,0.07820344898610654,0.16141319844756027,
