epochs, nll-test,Bleu_2,Self-Bleu_2,Bleu_3,Self-Bleu_3,Bleu_4,Self-Bleu_4,
1,4.5331345,0.14418279158512806,0.3902734986692237,0.0633779097473901,0.15245130671279783,0.04466474473806719,0.08541480489632403,
6,3.4524434,0.2227381195991245,0.3902734986692237,0.08590637094176794,0.15245130671279783,0.054356836421483916,0.08541480489632403,
11,3.0403252,0.2743327825330339,0.3902734986692237,0.10180472202748217,0.15245130671279783,0.05924102948954052,0.08541480489632403,
16,2.7283864,0.26495048481520433,0.3902734986692237,0.10322624666667474,0.15245130671279783,0.060292385773479194,0.08541480489632403,
21,2.4413762,0.2870277323900801,0.3902734986692237,0.11380008834905424,0.15245130671279783,0.0651434106373177,0.08541480489632403,
26,2.2285492,0.30767340987740943,0.3902734986692237,0.12394187360788023,0.15245130671279783,0.07004911523452005,0.08541480489632403,
31,2.0853138,0.31881922454449024,0.3902734986692237,0.12726999187879745,0.15245130671279783,0.07051457601877793,0.08541480489632403,
36,1.9621882,0.31337051814293637,0.3902734986692237,0.13065555861964787,0.15245130671279783,0.07523794614680247,0.08541480489632403,
41,1.8657966,0.31099271782994187,0.3902734986692237,0.1298670269151332,0.15245130671279783,0.07305359444509175,0.08541480489632403,
46,1.7912695,0.3119384540944799,0.3902734986692237,0.13069027966625746,0.15245130671279783,0.073260342708133,0.08541480489632403,
51,1.7577809,0.3273176777944199,0.3902734986692237,0.13785982188416562,0.15245130671279783,0.07592903470718035,0.08541480489632403,
56,1.8018204,0.3769204676729264,0.3902734986692237,0.16267735885938897,0.15245130671279783,0.08836507659753595,0.08541480489632403,
61,1.8837514,0.4102096522293557,0.3902734986692237,0.17674557616777042,0.15245130671279783,0.09433972666868932,0.08541480489632403,
66,1.9563633,0.42199137912863927,0.3902734986692237,0.1792867941032127,0.15245130671279783,0.09514506261508052,0.08541480489632403,
71,2.021893,0.41529864197617755,0.3902734986692237,0.17443844967020272,0.15245130671279783,0.0931411715092481,0.08541480489632403,
76,2.0490112,0.40102359341488575,0.3902734986692237,0.16429746282856858,0.15245130671279783,0.08621371118028638,0.08541480489632403,
81,2.0867717,0.3899503949972694,0.3902734986692237,0.1581801367997061,0.15245130671279783,0.08208514463932218,0.08541480489632403,
86,2.131338,0.3965446993703487,0.3902734986692237,0.16260806583809131,0.15245130671279783,0.08540571141212054,0.08541480489632403,
91,2.1723316,0.39140495283390686,0.3902734986692237,0.158709511058517,0.15245130671279783,0.08447004714480862,0.08541480489632403,
96,2.2123542,0.38904784555505817,0.3902734986692237,0.15909450494358107,0.15245130671279783,0.08706076523632157,0.08541480489632403,
100,2.2463043,0.38589482113099277,0.3902734986692237,0.15777624532001736,0.15245130671279783,0.086703774677483,0.08541480489632403,
