epochs, nll-test,Bleu_2,Self-Bleu_2,Bleu_3,Self-Bleu_3,Bleu_4,Self-Bleu_4,
1,0.45676666,0.16066103510965238,0.4204631807510522,0.06804798261195759,0.15651909845961012,0.046938798808389096,0.08748229944178004,
6,0.30208477,0.18097876956196574,0.4204631807510522,0.07698457243202235,0.15651909845961012,0.05487255597310653,0.08748229944178004,
11,0.27386126,0.23032246260731598,0.4204631807510522,0.09251162497827493,0.15651909845961012,0.06005116554735071,0.08748229944178004,
16,0.25067496,0.2526434430712885,0.4204631807510522,0.10529244351705219,0.15651909845961012,0.06602451890801274,0.08748229944178004,
21,0.23203146,0.27104627263311876,0.4204631807510522,0.11222889601467678,0.15651909845961012,0.06784425845304334,0.08748229944178004,
26,0.21703517,0.2686600077610555,0.4204631807510522,0.1190192559722292,0.15651909845961012,0.07395638756142896,0.08748229944178004,
31,0.2049433,0.26971032943724066,0.4204631807510522,0.12067810197173112,0.15651909845961012,0.07518384384484356,0.08748229944178004,
36,0.19606742,0.2654836215119253,0.4204631807510522,0.11681888603756178,0.15651909845961012,0.07304183707057654,0.08748229944178004,
41,0.19092762,0.28816589354752387,0.4204631807510522,0.12466043855888166,0.15651909845961012,0.07152798039478436,0.08748229944178004,
46,0.18535647,0.2710890248168728,0.4204631807510522,0.12195856194727904,0.15651909845961012,0.07471584842347291,0.08748229944178004,
51,0.18273953,0.2972034771878764,0.4204631807510522,0.13995408663773215,0.15651909845961012,0.088969384644101,0.08748229944178004,
56,0.18988313,0.34369808940037144,0.4204631807510522,0.1664109625621558,0.15651909845961012,0.10846540981244597,0.08748229944178004,
61,0.1988302,0.3440290447630948,0.4204631807510522,0.16863402218685417,0.15651909845961012,0.11204685596044339,0.08748229944178004,
66,0.20259352,0.337637535043317,0.4204631807510522,0.1607756317109975,0.15651909845961012,0.10458089698085193,0.08748229944178004,
71,0.20833953,0.3337634000740648,0.4204631807510522,0.1535977478747825,0.15651909845961012,0.09931084004791225,0.08748229944178004,
76,0.21808484,0.34013967063425526,0.4204631807510522,0.16117547078155628,0.15651909845961012,0.1076638660990793,0.08748229944178004,
81,0.22583346,0.3427638508345697,0.4204631807510522,0.16265501236048213,0.15651909845961012,0.11031112379677616,0.08748229944178004,
86,0.2296095,0.3338184182703001,0.4204631807510522,0.15851979618950288,0.15651909845961012,0.10927744065539872,0.08748229944178004,
91,0.22978427,0.32469564097823234,0.4204631807510522,0.15065613257154464,0.15651909845961012,0.10254151619596216,0.08748229944178004,
96,0.23158753,0.32093310354818083,0.4204631807510522,0.15294008587799016,0.15651909845961012,0.10410393057130612,0.08748229944178004,
100,0.23528086,0.3235890771913844,0.4204631807510522,0.155406223320267,0.15651909845961012,0.10771853234011158,0.08748229944178004,
